Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
13/01/2012,Very serious,"Capsizing/Listing - Listing,Capsizing/Listing - Capsizing,Grounding/stranding - Drift,Capsizing/Listing - Listing,Grounding/stranding - Power,Loss of control - Loss of directional control,Loss of control - Loss of propulsion power,Loss of control - Loss of electrical power,Flooding/Foundering - Flooding - Massive",,COSTA CONCORDIA,9320544,Passenger ship - Only passenger - International,32,17,
23/12/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"NORDIC STANI,PR?CTICOS AROSA DOS",9483671,"Service ship - Other,Cargo ship - Solid Cargo - Container Ship",1,1,
16/12/2011,Very serious,Grounding/stranding - Drift,,TK BREMEN,8113487,Cargo ship - Solid Cargo - General Cargo,0,0,YES
27/11/2011,Very serious,"Flooding/Foundering - Flooding,Hull failure,Flooding/Foundering - Foundering",,Swanland,7607431,Cargo ship - Solid Cargo - General Cargo,6,0,
01/11/2011,Very serious,"Collision - Ship not underway,Collision - With other ship",,"Golub,JOERG N",9508603,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Trawler - Stern",,,
05/10/2011,Very serious,"Collision - With other ship,Flooding/Foundering - Foundering,Collision - With other ship,Capsizing/Listing - Capsizing",,"ESTESKY,TABAR",9116034,"Fishing vessel,Cargo ship - Solid Cargo - General Cargo",1,0,
20/09/2011,Very serious,"Flooding/Foundering - Flooding - Massive,Fire/Explosion - Fire",,P¨¨re Briant,7363035,Fishing vessel - Seiner - Tuna purse seiners,0,0,YES
15/09/2011,Very serious,"Loss of control - Loss of propulsion power,Capsizing/Listing - Listing,Flooding/Foundering - Flooding,Loss of control - Loss of electrical power,Fire/Explosion - Fire,Contact - Shore object",,Nordlys,9048914,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,2,9,YES
10/09/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"GOLDEN TRADER,VIDAR",9041459,"Cargo ship - Solid Cargo - Bulk Carrier,Fishing vessel - Trawler - Beam",0,0,YES
06/09/2011,Very serious,Fire/Explosion - Explosion,,Clipper Sund,9375977,Cargo ship - Liquid Cargo - Chemical tanker,1,0,
12/08/2011,Very serious,"Collision - With other ship,Collision - With other ship,Capsizing/Listing - Capsizing",,"Chiefton,Skyline Barge 19",9600695,"Service ship - Tug (Towing/Pushing),Service ship - Other",1,0,
22/07/2011,Very serious,Capsizing/Listing - Capsizing,,UNION NEPTUNE,8416803,Cargo ship - Solid Cargo - General Cargo,0,0,
26/06/2011,Very serious,"Collision - With other ship,Collision - With other ship",,"LILLY,FRANK W",9374674,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Trawler",0,0,YES
19/06/2011,Very serious,Damage / loss of equipment,,ALLURES,9094755,Recreational craft - Sailboat (aux. motor),1,0,
12/10/2020,Serious,Grounding/stranding - Drift,,HEIN SENIOR,9092642,Fishing vessel,0,0,
23/09/2020,Serious,"Collision - With other ship,Collision - With other ship",,"RFS KAZANETS 311,ICE ROSE",8311106,"Navy ship,Cargo ship - Solid Cargo - Refrigerated Cargo",0,0,
05/09/2020,Serious,Grounding/stranding - Power,,SAGAFJORD,7943079,Passenger ship - Only passenger,0,0,
05/06/2020,Serious,Grounding/stranding - Power,,KARLSO,8705890,Fishing vessel,0,0,
08/05/2020,Serious,Damage / loss of equipment,,MOUNT EVEREST,9470985,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
01/05/2020,Serious,Damage / loss of equipment,,FT STURLA,9447287,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
01/04/2020,Serious,Damage / loss of equipment,,TORM MAREN,9358400,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,3,
19/03/2020,Serious,Fire/Explosion - Fire,,DC VLAANDEREN 3000,9250373,Service ship - Dredger,0,0,
17/02/2020,Serious,Damage / loss of equipment,,SICHEM MANILA,9322097,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
11/12/2019,Serious,Grounding/stranding - Drift,,Sea Eagle,9830135,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
24/11/2019,Serious,Grounding/stranding - Power,,LA BELLE DES OCEANS,8800195,Passenger ship - Only passenger,0,0,
21/11/2019,Serious,Fire/Explosion - Fire,,EUROCARGO TRIESTE,9131515,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
12/10/2019,Serious,Grounding/stranding - Power,,SEASURFER,9763033,Cargo ship - Liquid Cargo - Liquified gas tanker - LNG - Type 2G,0,0,
28/09/2019,Serious,Contact - Shore object,,ARAMIS,9281592,Cargo ship - Solid Cargo - General Cargo,0,2,
09/07/2019,Serious,Fire/Explosion - Fire,,PETER PAN,9217242,Passenger ship - Passenger and Ro-Ro cargo,0,0,
10/05/2019,Serious,Damage / loss of equipment,,ALYARMOUK,9356438,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,1,
10/05/2019,Serious,"Collision - With other ship,Collision - With other ship",,"EXPRESS 1,BALTIC CONDOR",9501590,"Passenger ship - Only passenger - International,Passenger ship - Passenger and Ro-Ro cargo",0,2,
08/05/2019,Serious,Grounding/stranding - Power,,SEATRUCK PERFORMANCE,9506227,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
19/04/2019,Serious,Grounding/stranding - Power,,APL DANUBE,9674517,Cargo ship - Solid Cargo - Container Ship,0,0,
12/04/2019,Serious,"Grounding/stranding - Drift,Loss of control - Loss of directional control",,Skarven,9436630,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class D,0,0,
08/04/2019,Serious,Contact - Floating object - Other,,BOANN,9808792,Service ship,0,0,
18/03/2019,Serious,Fire/Explosion - Explosion,,BAKKEDAL,9308728,Cargo ship - Liquid Cargo - Combination carrier,0,0,
14/03/2019,Serious,"Loss of control - Loss of propulsion power,Loss of control - Loss of electrical power",,LEOPOLD LD,9617519,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
11/03/2019,Serious,Fire/Explosion - Fire,,OP HOOP VAN ZEGEN,9019456,Fishing vessel,0,0,
09/03/2019,Serious,"Damage / loss of equipment,Damage / loss of equipment",,GIOVANNI DP,9261516,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,1,
19/02/2019,Serious,Grounding/stranding - Power,,BREIZH NEVEZ 1,9835252,Passenger ship - Passenger and Ro-Ro cargo,0,0,
06/02/2019,Serious,Grounding/stranding - Drift,,Komiza,7321908,Passenger ship - Only passenger - Domestic - Class C,0,0,
20/01/2019,Serious,Loss of control - Loss of containment,,SICHEM RUBY,9344174,Cargo ship - Liquid Cargo - Chemical tanker,0,1,
17/01/2019,Serious,Grounding/stranding - Drift,,BORE BANK,9160774,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
08/01/2019,Serious,Loss of control - Loss of propulsion power,,GURONI,9438248,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
03/01/2019,Serious,Fire/Explosion - Fire,,YANTIAN EXPRESS,9229831,Cargo ship - Solid Cargo - Container Ship,0,0,YES
18/12/2018,Serious,Loss of control - Loss of containment,,EUROPEAN CAUSEWAY,9208394,Passenger ship - Passenger and Ro-Ro cargo,0,0,
08/11/2018,Serious,"Capsizing/Listing - Listing,Flooding/Foundering - Flooding - Massive,Collision - With other ship,Capsizing/Listing - Capsizing,Collision - With other ship,Flooding/Foundering - Flooding - Progressive",,"TRAMES UNO,ALBORAN",9206700,"Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,Cargo ship - Solid Cargo - Pontoon",0,0,
31/10/2018,Serious,Contact - Shore object,,EXCELLENT,9143441,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
22/10/2018,Serious,Contact - Shore object,,ERNA OLDENDORFF,9717670,Cargo ship - Solid Cargo - General Cargo,0,0,
14/10/2018,Serious,Fire/Explosion - Explosion,,BALTIC BREEZE,8312590,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
24/09/2018,Serious,Loss of control - Loss of propulsion power,,KLAIPEDA,9106584,Cargo ship - Solid Cargo - General Cargo,0,0,
20/09/2018,Serious,Grounding/stranding - Power,,PEAK BERGEN,9544932,Cargo ship - Solid Cargo - General Cargo,0,0,
12/09/2018,Serious,Grounding/stranding - Drift,,PRIAMOS,9412531,Cargo ship - Solid Cargo - Container Ship,0,0,
02/08/2018,Serious,Fire/Explosion - Fire,,VOLCAN DE TENEGUIA,9335161,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,YES
23/07/2018,Serious,Grounding/stranding - Power,,MAKASSAR HIGHWAY,9235426,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
18/07/2018,Serious,Grounding/stranding - Power,,PRISCILLA,9411745,Cargo ship - Solid Cargo - General Cargo,0,0,
15/07/2018,Serious,Contact - Shore object,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,AURORA EXPLORER,9196723,Passenger ship - Only passenger,0,10,
13/07/2018,Serious,Capsizing/Listing - Capsizing,,,6605503,Service ship - Tug (Towing/Pushing),0,0,
09/07/2018,Serious,"Collision - With other ship,Collision - With other ship,Grounding/stranding - Power",,"unnamed,PAZIFIK",9293430,"Cargo ship - Liquid Cargo - Liquified gas tanker - LPG,Service ship - Tug (Towing/Pushing)",0,0,
28/06/2018,Serious,Grounding/stranding,,SUMATRA,9753260,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
22/05/2018,Serious,Fire/Explosion - Fire,,MARTIN I SOLER,9390367,Passenger ship - Passenger and Ro-Ro cargo,0,0,
17/04/2018,Serious,Loss of control - Loss of containment,,NS TERA,8411566,Cargo ship - Solid Cargo - General Cargo,0,1,
16/04/2018,Serious,Fire/Explosion - Explosion,,FINLANDIA SEAWAYS,9198721,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,1,
07/04/2018,Serious,Contact - Shore object,,VITASPIRIT,9231377,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
06/04/2018,Serious,Contact - Shore object,,AS FLORETTA,9395056,Cargo ship - Solid Cargo - Container Ship,0,0,
27/03/2018,Serious,Grounding/stranding - Power,,CELTICA HAV,8422022,Cargo ship - Solid Cargo - General Cargo,0,0,
06/03/2018,Serious,"Grounding/stranding - Drift,Loss of control - Loss of propulsion power",,BETANZOS,9263552,Cargo ship - Solid Cargo - General Cargo,0,0,
19/02/2018,Serious,"Contact - Shore object,Loss of control - Loss of directional control",,AKACIA,9315020,Cargo ship - Solid Cargo - Container Ship,0,0,
10/02/2018,Serious,Grounding/stranding - Drift,,HEPHAESTUS,6519326,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,YES
31/01/2018,Serious,Fire/Explosion - Explosion,,NEW HAMPSHIRE TRADER,9571296,Cargo ship - Solid Cargo - Container Ship,0,2,
20/01/2018,Serious,Damage / loss of equipment,,CMA CGM G.WASHINGTON,9780847,Cargo ship - Solid Cargo - Container Ship,0,0,
13/01/2018,Serious,"Collision - With other ship,Collision - With other ship",,"DORIS,Zhe Xiang Yu 24005",9509425,"Cargo ship - Solid Cargo - Bulk Carrier,Fishing vessel - Trawler - Beam",0,0,
27/12/2017,Serious,Flooding/Foundering - Flooding - Progressive,,ESHIPS SHAMAL,9506198,Cargo ship - Liquid Cargo - Liquified gas tanker - LPG,0,0,
26/12/2017,Serious,"Flooding/Foundering - Flooding - Progressive,Damage / loss of equipment",,CAPRI,9248526,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
10/12/2017,Serious,"Grounding/stranding - Power,Contact - Shore object",,PRIDE OF KENT,9015266,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
06/12/2017,Serious,Damage / loss of equipment,,BERGENSFJORD,9343091,Passenger ship - Passenger and Ro-Ro cargo,0,0,
28/11/2017,Serious,Damage / loss of equipment,,BOZDAG,9194012,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,2,
15/11/2017,Serious,Fire/Explosion - Fire,,WORLD CALIMA,9684316,Service ship - Special purpose ship,0,0,
29/10/2017,Serious,"Grounding/stranding - Drift,Grounding/stranding - Drift",,GLORY AMSTERDAM,9287182,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
13/10/2017,Serious,Fire/Explosion - Fire,,REGINA BALTICA,7827225,Passenger ship - Passenger and Ro-Ro cargo,0,0,
10/10/2017,Serious,Grounding/stranding - Power,,RUYTER,9374674,Cargo ship - Solid Cargo - General Cargo,0,0,
08/10/2017,Serious,"Grounding/stranding - Power,Loss of control - Loss of directional control",,ISLAY TRADER,9030474,Cargo ship - Solid Cargo - General Cargo,0,0,
28/09/2017,Serious,Grounding/stranding - Power,,MARBELLA,9189782,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
23/09/2017,Serious,Grounding/stranding - Power,,ATLANTIC,8002731,Cargo ship - Solid Cargo - General Cargo,0,0,
12/09/2017,Serious,Fire/Explosion - Explosion,,WIGHT SKY,9446984,Passenger ship - Passenger and Ro-Ro cargo - Port or internal waters,0,1,
28/06/2017,Serious,Grounding/stranding - Power,,FREYJA,7392610,Cargo ship - Liquid Cargo - Chemical tanker - Type 2,0,0,
10/06/2017,Serious,"Grounding/stranding - Power,Grounding/stranding - Power",,OCEAN PREFECT,9249257,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
07/06/2017,Serious,Grounding/stranding - Power,,ST. GREGORY,9414759,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
25/05/2017,Serious,Fire/Explosion - Fire,,ZIRCON,9010929,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
13/05/2017,Serious,Grounding/stranding - Power,,UNIVERSAL DURBAN,9644251,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
04/05/2017,Serious,Contact - Shore object,,CMA CGM CENTAURUS,9410777,Cargo ship - Solid Cargo - Container Ship,0,0,
21/04/2017,Serious,Loss of control - Loss of propulsion power,,VOLCAN DE TAMASITE,9281322,Passenger ship - Passenger and Ro-Ro cargo,0,0,
19/04/2017,Serious,Fire/Explosion - Fire,,USICHEM,9344344,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
03/04/2017,Serious,"Fire/Explosion - Fire,Fire/Explosion - Explosion",,VF TANKER-7,9640554,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
31/03/2017,Serious,Loss of control - Loss of propulsion power,,CHODZIEZ,8302301,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
13/03/2017,Serious,Loss of control - Loss of propulsion power,,INTERLINK UTILITY,9714795,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
06/03/2017,Serious,"Damage / loss of equipment,Loss of control - Loss of propulsion power,Flooding/Foundering - Flooding - Massive",,Jean Nicoli,9161948,Passenger ship - Passenger and Ro-Ro cargo,0,0,
10/02/2017,Serious,Grounding/stranding - Power,,VICTORIA,9290165,Cargo ship - Solid Cargo - Container Ship,0,0,YES
25/01/2017,Serious,Contact - Shore object,,Antero de Quental,9312638,Passenger ship - Only passenger - Port or internal waters,0,37,
15/01/2017,Serious,"Capsizing/Listing - Capsizing,Contact - Shore object,Collision - With other ship,Collision - Ship not underway,Flooding/Foundering - Foundering,Flooding/Foundering - Flooding - Massive",,"unnamed,Kor?ula",9476305,"Recreational craft - Motorboat,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B",0,0,
05/01/2017,Serious,Fire/Explosion - Fire,,MAERSK COLUMBUS,6332987,Cargo ship - Solid Cargo - Container Ship,0,0,
21/12/2016,Serious,Loss of control - Loss of containment,,MAERSK BATTLER,9144330,Service ship - Offshore supply ship,0,0,YES
19/12/2016,Serious,Fire/Explosion - Explosion,,CAPE BON,9260055,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
09/12/2016,Serious,"Flooding/Foundering - Flooding - Progressive,Grounding/stranding - Power",,Ask?,9333450,Cargo ship - Solid Cargo - General Cargo,0,0,
07/12/2016,Serious,Fire/Explosion - Fire,,NIXE,9316646,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,0,0,
06/12/2016,Serious,"Collision - With other ship,Collision - With other ship",,"L'ESPOIR,BOUZAS",9249996,"Passenger ship - Passenger and Ro-Ro cargo - International,Fishing vessel - Liner",0,0,
04/12/2016,Serious,"Loss of control - Loss of propulsion power,Grounding/stranding - Drift",,HANNI,9188506,Cargo ship - Solid Cargo - Container Ship,0,0,
03/12/2016,Serious,Grounding/stranding - Power,,MUROS,9397640,Cargo ship - Solid Cargo - General Cargo,0,0,
22/11/2016,Serious,Grounding/stranding - Power,,ROBUSTO,9386512,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
20/11/2016,Serious,"Collision - Ship not underway,Collision - Ship not underway,Flooding/Foundering - Flooding - Progressive,Flooding/Foundering - Flooding - Progressive",,"STEMA BARGE II,SAGA SKY",9144354,"Cargo ship - Solid Cargo - General Cargo,Cargo ship - Solid Cargo - Barge",0,0,
21/10/2016,Serious,"Fire/Explosion - Fire,Loss of control - Loss of containment",,THOMSON MAJESTY,8814744,Passenger ship - Only passenger - International,0,0,
22/09/2016,Serious,"Fire/Explosion - Fire,Fire/Explosion - Explosion",,MERCURIA,9050547,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,2,
13/09/2016,Serious,Loss of control - Loss of propulsion power,,ORAKAI,9402689,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
13/09/2016,Serious,Grounding/stranding - Drift,,Egon W,9279018,Cargo ship - Solid Cargo - General Cargo,0,0,
07/09/2016,Serious,Loss of control - Loss of propulsion power,,ORESTINA,9510589,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
05/09/2016,Serious,Grounding/stranding - Power,,ASPIN,7928847,Fishing vessel - Gillnetter,0,0,
31/08/2016,Serious,Fire/Explosion - Fire,,Stena Spirit,7907661,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
26/08/2016,Serious,"Collision - With other ship,Collision - With other ship",,"BBC STEINHOEFT,CRUNIA",9358046,"Fishing vessel - Trawler - Stern,Cargo ship - Solid Cargo - General Cargo",0,0,
16/08/2016,Serious,Fire/Explosion - Explosion,,IVER ABILITY,9327504,Cargo ship - Liquid Cargo - Oil tanker,0,0,
02/08/2016,Serious,Grounding/stranding - Power,,TIDE NAVIGATOR,9526083,Cargo ship - Solid Cargo - General Cargo,0,0,
31/07/2016,Serious,Damage / loss of equipment,,SCA MUNKSUND,9429223,Cargo ship - Solid Cargo - Container Ship,0,1,
25/07/2016,Serious,Grounding/stranding - Power,,HORIZON,8807088,Passenger ship - Only passenger - International,0,0,
10/07/2016,Serious,Grounding/stranding - Power,,ROYAL IRIS OF THE MERSEY,8633712,Passenger ship - Only passenger - Port or internal waters,0,0,
24/06/2016,Serious,Contact - Shore object,,REGINA MED,8100777,Cargo ship - Solid Cargo - General Cargo,0,0,
15/06/2016,Serious,Fire/Explosion - Fire,,CMA CGM Rossini,9280639,Cargo ship - Solid Cargo - Container Ship,0,0,YES
30/05/2016,Serious,Grounding/stranding - Drift,,SEVEN SEAS,9006344,Cargo ship - Solid Cargo - General Cargo,0,0,
11/04/2016,Serious,"Fire/Explosion - Fire,Loss of control - Loss of electrical power,Damage / loss of equipment,Loss of control - Loss of propulsion power",,NORMANDIE,9006253,Passenger ship - Passenger and Ro-Ro cargo - International,0,2,
27/03/2016,Serious,Damage / loss of equipment,,CIELO DI TOCOPILLA,9638159,Cargo ship - Solid Cargo - Bulk Carrier,0,1,
19/03/2016,Serious,"Collision - With other ship,Collision - With other ship,Collision - With other ship",,"ISA,CHARLIE IV",9180358,"Cargo ship - Solid Cargo - Bulk Carrier,Recreational craft - Sailboat (aux. motor)",0,0,
05/03/2016,Serious,"Fire/Explosion - Fire,Loss of control - Loss of containment",,ASKARA,9431886,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,2,
03/02/2016,Serious,"Loss of control - Loss of directional control,Grounding/stranding - Power",,CSCL Indian Ocean,9695157,Cargo ship - Solid Cargo - Container Ship,0,0,
08/01/2016,Serious,Contact,,Evert Prahm,9138757,Cargo ship - Solid Cargo - General Cargo,0,2,
18/12/2015,Serious,Fire/Explosion - Fire,,Ventura,9312729,Cargo ship - Solid Cargo - General Cargo,0,0,YES
17/12/2015,Serious,Grounding/stranding - Power,,BBC Maple Lea,9358034,Cargo ship - Solid Cargo - General Cargo,0,0,YES
20/11/2015,Serious,Fire/Explosion - Fire,,MSC Katrina,9467445,Cargo ship - Solid Cargo - Container Ship,0,0,
18/11/2015,Serious,"Loss of control - Loss of electrical power,Fire/Explosion - Fire,Loss of control - Loss of propulsion power",,LE BOREAL,9502506,Passenger ship - Only passenger - International,0,0,
26/10/2015,Serious,"Fire/Explosion - Fire,Loss of control - Loss of electrical power",,ADMIRAL SHABALIN,8607165,Fishing vessel - Trawler - Other trawler,0,0,YES
26/10/2015,Serious,Fire/Explosion - Explosion,,Thetis D,9372274,Cargo ship - Solid Cargo - Container Ship,0,0,
08/10/2015,Serious,Damage / loss of equipment,,Sovereign,8512281,Passenger ship - Only passenger - International,0,1,
28/09/2015,Serious,Grounding/stranding - Drift,,MV Cielo Di Monaco,9638147,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
21/09/2015,Serious,"Flooding/Foundering - Flooding - Progressive,Grounding/stranding - Power",,GODFJORD,8615277,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class C,0,0,
19/09/2015,Serious,"Flooding/Foundering - Flooding - Progressive,Grounding/stranding - Power",,VICTORIA,9129029,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
07/09/2015,Serious,Fire/Explosion - Fire,,BARZAN,9708851,Cargo ship - Solid Cargo - Container Ship,0,0,
28/08/2015,Serious,"Loss of control - Loss of directional control,Contact - Shore object",,JAUME II,9116113,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,0,0,
26/08/2015,Serious,Fire/Explosion - Fire,,CAROLINE M?RSK,9214903,Cargo ship - Solid Cargo - Container Ship,0,0,
28/07/2015,Serious,Fire/Explosion - Fire,,MARIBELLA,9316672,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
26/07/2015,Serious,Loss of control - Loss of containment,,SUNPOWER,9521643,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,YES
26/07/2015,Serious,Grounding/stranding - Power,,FLYING CAT 4,9206748,Passenger ship - Only passenger - Domestic - Class A,0,0,
28/06/2015,Serious,"Damage / loss of equipment,Fire/Explosion - Explosion,Loss of control - Loss of propulsion power",,Amon,8225474,Service ship - Tug (Towing/Pushing),0,2,
28/06/2015,Serious,Grounding/stranding - Power,,ALEXANDROS,8650966,Passenger ship - Only passenger,0,0,
16/06/2015,Serious,"Contact - Shore object,Loss of control - Loss of directional control",,Frisia V,8827181,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,0,8,
25/05/2015,Serious,Fire/Explosion - Fire,,Purple Beach,9138135,Cargo ship - Solid Cargo - General Cargo,0,0,YES
17/05/2015,Serious,"Flooding/Foundering - Foundering,Collision - Ship not underway",,"DETROIT JET,L'ATLANTIDA",9216169,"Passenger ship - Passenger and Ro-Ro cargo - International,Passenger ship - Only passenger - Domestic - Class D",0,0,
11/05/2015,Serious,Grounding/stranding - Power,,HAMBURG,9138329,Passenger ship - Only passenger - International,0,0,
